Normal_Height_cm,Uniform_Score,Exponential_Wait_min,LogNormal_Income_k,Beta_Probability,Gamma_Service_time,Chi2_Variance,Laplace_Error,Poisson_Calls_per_hr,Binomial_Successes,NegBinomial_Failures,Geometric_Trials
174.96714153011231,64.59172413316013,10.272516610714677,19.073819670608923,0.2048823674234112,3.9782414651835283,1.5407031193280212,-0.446100981876266,2,7,4,2
168.61735698828815,57.077830466891186,0.1484175577151101,11.285906145752527,0.18969387578781255,1.3449858282632186,5.641334131021543,-0.17013789924994538,4,10,1,1
176.47688538100692,35.60967258978462,8.738236881376569,40.21698031214529,0.2902085097994004,6.488551019913093,1.9432295701277111,-0.7777631001504088,5,7,5,2
185.23029856408024,98.65152487929797,0.6898195370187782,115.18041886871141,0.32525968719517134,16.539789514907376,2.7995564997131224,-0.9184349495870745,4,8,12,1
167.65846625276663,60.577481935688716,2.040734912546543,33.01508387747141,0.06674404650508572,2.154026764511066,5.728996224137977,-2.582708958240943,1,8,9,2
167.6586304305082,23.72267917359945,6.803294015803708,50.36242630502846,0.39484478584956023,1.0889364887504627,0.49568833871674334,0.3379084977459313,4,9,6,1
185.79212815507393,10.178247262040374,0.8762921736478159,34.49845979003957,0.17015973446901886,2.9279250460578377,2.0160502044559365,-0.6443178153182543,2,12,3,2
177.6743472915291,15.285913918433202,8.517837110792861,31.51788534417153,0.6912093386389426,4.140643158304615,4.383498891961229,-2.2567100607184125,4,5,4,1
165.30525614065047,24.595772838450813,8.92295148506112,52.433108924272865,0.17016504307163668,8.471502533156352,5.081088108268503,-0.7722799567251429,2,8,4,2
175.42560043585965,16.06813732595557,3.540976526547985,28.64167221850733,0.25965807209419905,3.798232361088318,4.509707132384259,0.9259065804951814,3,10,6,12
165.36582307187538,18.656702405130577,0.032031743087075834,37.85246703561819,0.34085924943352575,6.574547442294913,2.7716020140316515,1.213950291967927,2,8,5,2
165.34270246429742,28.50951686938471,1.6916367135592756,38.89434639210219,0.1936145912070428,3.3117705173037986,6.132990131099629,-0.03445430056499314,4,5,9,6
172.41962271566035,17.33735952947548,4.797647471818692,23.711372210935206,0.4421189571746821,4.325721095150775,1.4092863454301123,-0.18375297179892489,3,8,0,6
150.86719755342202,89.67654246264252,19.86581733987204,54.38134513660317,0.2918146343826823,2.470820643307561,1.3526907093545504,3.116937365351402,6,7,5,9
152.75082167486968,8.023374566164222,4.995828745445317,30.341612545037307,0.0431616328618451,1.8074172265920916,4.352432754251205,-0.9134714119537708,3,6,4,5
164.37712470759027,52.451138957025464,1.5041984850505852,22.694609294076287,0.08526285170391149,8.686244250785027,1.2633228855819554,-0.8423003819555462,6,10,2,4
159.87168879665577,41.03968269896615,5.025687639707752,43.304429243956285,0.47376583548934953,3.509230356040182,10.033418495826226,-0.538309272803105,2,8,2,6
173.14247332595275,98.23786169086064,3.8824850338883565,21.13152516511941,0.2739533039710695,6.927997990282728,2.0663713045060734,-1.0627202732500827,5,11,1,1
160.91975924478788,11.203890216805235,7.5671261506473275,33.58537077929595,0.23739520744884943,2.435518503329348,6.054411315070668,-0.2761077192438545,4,10,1,2
155.87696298664707,39.785559904574164,0.5657350864791453,32.96480580747001,0.2670788820929144,5.02785364500962,1.060296987397509,1.7241108431194598,7,9,5,13
184.65648768921554,96.94704332753689,7.157042403682414,56.99410166483024,0.1034879707346583,0.49073419977171495,8.664139094710176,0.2622686546725462,4,3,7,5
167.74223699513465,86.55071258939803,3.8964300953494475,41.986541079497165,0.22795113216234186,3.731185359860116,3.3700002087154153,-0.19371449386715806,2,8,6,10
170.67528204687923,81.707207094928,16.48310638883833,32.703644380148056,0.2627333305254055,2.6770484170130375,2.018370914161054,2.0311969674026833,4,6,4,5
155.75251813786542,25.790282704493983,2.091780449945556,49.84325341821043,0.6891140409001313,11.188098375017093,2.6189859219490526,-2.3337820472723227,8,11,6,6
164.55617275474816,17.088758739006582,5.006818486725115,66.3606177604858,0.2505649400674639,1.5392373244728632,1.748714055767425,-0.8661862988684845,3,6,7,4
171.10922589709867,66.8643219924431,13.443304877842756,43.768096132771305,0.24464969297662237,4.469427271372067,2.793423426732817,0.14130692698352126,2,7,12,5
158.49006422577696,92.93759891275857,0.5407649883263731,33.28731221847349,0.2767384149382149,6.429783161338227,1.1243765558205685,0.2628011802035377,5,8,8,3
173.75698018345673,55.67628930139298,13.841269634193843,17.18577288737447,0.27220512050485735,10.140752824226487,2.074351788369885,-2.5368526229106,4,7,18,8
163.99361310081196,57.161268946989985,5.821929417789845,19.442145700127273,0.22994845690931623,9.196525677977455,5.974616116931346,-0.2155753676330509,2,6,2,5
167.08306250206724,27.997909366028416,0.3512382514555415,28.428371637636896,0.42570532098434083,4.753623427756985,3.903961935130429,0.3542606174315338,6,9,7,6
163.98293387770602,76.94929331919369,1.790262082141199,24.41612803340359,0.22271118741639412,5.287584110462841,1.3827259120235316,0.5044147056976926,3,5,3,4
188.52278184508938,18.704374855752338,6.157954975606562,30.15993380995708,0.4773689304451496,11.181290660508715,2.8704900294998414,0.3233504323350174,2,5,6,2
169.86502775262065,32.367923640424365,0.34862963697380656,34.06685653255225,0.23101298651698982,4.682719932800507,7.460401099107729,-0.4445285736194196,8,7,4,1
